Participant ID,Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Expected Proportion
1011,19,9,4.5,4.5,Accept,3.91,0.98,0.24
1011,20,9,4.5,4.5,Accept,4.09,0.98,0.32
1011,21,15,3.0,12.0,Accept,0.68,0.66,0.37
1011,23,15,3.75,11.25,Accept,2.8,0.94,0.32
1011,24,15,5.25,9.75,Accept,5.06,0.99,0.3
1011,25,9,1.8,7.2,Reject,0.87,0.71,0.31
1011,27,9,2.7,6.3,Accept,2.66,0.93,0.28
1011,28,18,4.5,13.5,Accept,3.92,0.98,0.29
1011,29,9,2.7,6.3,Accept,2.64,0.93,0.28
1011,30,12,2.4,9.6,Accept,1.51,0.82,0.28
1011,31,18,9.0,9.0,Accept,7.91,1.0,0.26
1011,32,15,5.25,9.75,Accept,5.18,0.99,0.33
1011,33,9,3.6,5.4,Accept,3.46,0.97,0.34
1011,34,6,1.8,4.2,Reject,1.5,0.82,0.36
1011,35,9,3.6,5.4,Accept,3.46,0.97,0.34
1011,37,15,6.0,9.0,Accept,5.84,1.0,0.36
1011,39,15,6.0,9.0,Accept,5.89,1.0,0.37
1011,40,15,5.25,9.75,Accept,4.86,0.99,0.38
1011,41,12,4.8,7.2,Accept,4.71,0.99,0.37
1011,42,15,1.5,13.5,Reject,-2.27,0.09,0.38
1011,44,12,4.2,7.8,Accept,4.04,0.98,0.3
1011,45,15,3.75,11.25,Accept,2.92,0.95,0.31
1011,48,15,5.25,9.75,Accept,5.04,0.99,0.29
1011,49,18,5.4,12.6,Accept,5.23,0.99,0.31
1012,2,15,5.25,9.75,Accept,3.23,0.96,0.5
1012,3,9,3.6,5.4,Accept,3.15,0.96,0.46
1012,5,15,5.25,9.75,Accept,4.06,0.98,0.44
1012,6,15,3.75,11.25,Accept,1.56,0.83,0.41
1012,7,12,1.2,10.8,Accept,-1.64,0.16,0.36
1012,8,9,1.8,7.2,Accept,1.12,0.75,0.28
1012,11,9,4.5,4.5,Accept,3.96,0.98,0.26
1012,15,15,3.0,12.0,Accept,1.23,0.77,0.33
1012,16,15,5.25,9.75,Accept,5.03,0.99,0.29
1012,17,15,5.25,9.75,Accept,5.1,0.99,0.31
1012,18,15,1.5,13.5,Reject,-1.49,0.18,0.32
1012,19,6,1.8,4.2,Accept,1.73,0.85,0.26
1012,20,18,4.5,13.5,Accept,4.2,0.99,0.27
1012,22,15,3.75,11.25,Accept,3.57,0.97,0.26
1012,25,6,1.2,4.8,Reject,0.88,0.71,0.26
1012,26,12,4.2,7.8,Accept,3.87,0.98,0.24
1012,28,9,2.7,6.3,Accept,2.64,0.93,0.27
1012,29,9,2.25,6.75,Accept,1.99,0.88,0.28
1012,31,18,9.0,9.0,Accept,7.98,1.0,0.27
1012,33,15,1.5,13.5,Reject,-1.75,0.15,0.34
1012,34,18,5.4,12.6,Accept,5.26,0.99,0.27
1012,36,9,3.6,5.4,Accept,3.33,0.97,0.28
1012,37,12,3.0,9.0,Accept,2.3,0.91,0.31
1012,38,9,2.25,6.75,Accept,1.88,0.87,0.3
1012,39,12,4.8,7.2,Accept,4.44,0.99,0.28
1012,40,9,2.7,6.3,Accept,2.56,0.93,0.32
1012,41,6,2.4,3.6,Accept,2.27,0.91,0.31
